"x","cust_id","device_name","line","released","sex","pronouns","emoji_modifier","income","Population","age"
1,"0000af7e-418a-402d-a7c4-0dfe2d7eafcb","Run BE","Run",2020-11-20,"Male","he/him","U+1F3FF",59881,531902,54.9424657534247
2,"00084c10-8e0f-4ab9-a9b8-2e5eef964f60","Run BE","Run",2020-11-20,"Female","she/her",NA,87225,932546,56.8739726027397
3,"00092283-3131-44a5-be65-c802a6a38fd4","Advance 2","Advance",2021-07-08,"Male","he/him",NA,97334,1239220,40.7561643835616
4,"000bbf08-551c-41c3-8ae2-c136d33e721d","Advance 2","Advance",2021-07-08,"Male","he/him","U+1F3FD",65829,2731571,77.8695261621379
5,"00128697-9e88-44ce-b57f-5859cff6bc09","Run ON","Run",2021-12-04,"Male","he/him","U+1F3FF",65829,2731571,29.7547720637772
6,"0014164a-f65a-4324-b58f-11f3576a5f54","Run ON","Run",2021-12-04,"Female","she/her",NA,65829,2731571,51.7041095890411
7,"00146c9e-16c3-43ae-b2e7-b2d56f9343e8","Advance 2","Advance",2021-07-08,"Female","she/her","U+1F3FC",97334,1239220,47.1808219178082
8,"0014b3d9-7f56-4321-b2b7-9f06bab0dac2","Run BE","Run",2020-11-20,"Male","he/him",NA,65241,198309,52.8630136986301
9,"00153635-09d2-4500-8513-0d50d87a8110","Advance 2","Advance",2021-07-08,"Male","he/him","U+1F3FC",97334,1239220,61.5771764353619
10,"00169e8f-f855-4bbf-8138-7f5a1fdd1991","Run ON","Run",2021-12-04,"Female","she/her","U+1F3FB",83018,721599,33.2820944681488
11,"001ae3ef-da49-4ce6-bfc9-71d119ec8f03","Active Alpha","Active",2020-12-30,"Female","she/her","U+1F3FF",50227,1704694,72.172602739726
12,"001fa5b5-03e0-401c-9291-0a60c4d5a846","Run BE","Run",2020-11-20,"Female","she/her","U+1F3FD",50227,1704694,41.3121491129576
13,"0020d464-ed55-4d28-8719-1d473e74e57c","Run ON","Run",2021-12-04,"Female","she/her",NA,65829,2731571,90.6876712328767
14,"0020e97e-7868-4179-a79d-b3339c1f9cd2","Advance 2","Advance",2021-07-08,"Female","she/her","U+1F3FB",87290,593638,63.1452054794521
15,"0023e3e9-4742-4e54-8e27-5b243b4c1b50","Advance 2","Advance",2021-07-08,"Female","she/her","U+1F3FD",85981,934243,23.0109589041096
16,"00256dc2-1f35-4691-9fdb-dd4625cc5241","Advance 2","Advance",2021-07-08,"Male","he/him","U+1F3FB",87225,932546,27.5972602739726
17,"0026d83d-e730-490e-8497-a1a8b0d6c7fa","Run BE","Run",2020-11-20,"Female","she/her","U+1F3FB",65829,2731571,27.9397260273973
18,"00289c86-377a-451e-a1a9-f70a63de9e40","Advance 2","Advance",2021-07-08,"Male","he/him","U+1F3FE",65829,2731571,66.558904109589
19,"002cc1f4-cc2a-434e-983c-4bdc340e9e8f","Run 875","Run",2019-09-12,"Female","she/her",NA,85981,934243,27.0301369863014
20,"002d3efd-587e-4fe6-a741-136e1e85385e","Active Alpha","Active",2020-12-30,"Female","she/her","U+1F3FB",85981,934243,84.4712328767123
21,"002fe83c-253e-47f3-b45d-bb57769b1669","Advance 2","Advance",2021-07-08,"Male","he/him",NA,50227,1704694,44.4767123287671
22,"003da6ad-5a6a-46c2-b2bb-3e8fed84f340","Run BE","Run",2020-11-20,"Female","she/her","U+1F3FF",65829,2731571,65.2547720637772
23,"0043a072-7ceb-448e-9f39-464cc0b41c82","Run ON","Run",2021-12-04,"Female","she/her","U+1F3FB",83018,721599,54.6054794520548
24,"00445d49-ee05-4af3-87c5-7f606e2c89a0","Advance 2","Advance",2021-07-08,"Female","she/her","U+1F3FC",65829,2731571,27.5561643835616
25,"00446b8c-07d0-49d2-8d62-b1c99fdeab7a","Run ON","Run",2021-12-04,"Male","he/him","U+1F3FB",65829,2731571,51.8383561643836
26,"004a12d0-af7e-423f-b105-0fe5a8e68525","Advance 2","Advance",2021-07-08,"Male","he/him","U+1F3FB",97334,1239220,35.9342465753425
27,"004fd6b1-efd6-47c6-ae22-b7e0461c51b1","Advance 2","Advance",2021-07-08,"Male","he/him","U+1F3FC",83018,721599,49.5935698779849
28,"00537bc6-8d51-4fe9-994a-0bea71054e79","Run ON","Run",2021-12-04,"Female","she/her","U+1F3FC",87290,593638,53.7547720637772
29,"005662ac-a2d6-4a91-9e40-e151ea3d8b61","Advance 2","Advance",2021-07-08,"Male","he/him",NA,87225,932546,56.841095890411
30,"00574ae5-3c60-44d6-82cf-625105fec6e8","Active Alpha","Active",2020-12-30,"Female","she/her","U+1F3FF",72511,141397,24.6191780821918
31,"005c2675-dd07-453c-9cd2-ad8a2f676199","Run BE","Run",2020-11-20,"Female","she/her","U+1F3FB",65829,2731571,38.427397260274
32,"005d423c-7cd9-4cd3-a2bc-645db49a30a3","Run ON","Run",2021-12-04,"Female","she/her","U+1F3FE",62011,383822,27.2082191780822
33,"005e38e0-5bed-4d15-833a-4b590fd39216","Run BE","Run",2020-11-20,"Female","she/her","U+1F3FB",65829,2731571,43.0219178082192
34,"005e90b4-c66d-4213-b7b0-02a8300bd899","Run ON","Run",2021-12-04,"Female","she/her","U+1F3FF",68402,705244,37.0547945205479
35,"0064addd-883e-4ce9-98d7-94a5a807436b","Advance","Advance",2020-08-20,"Female","she/her",NA,97334,1239220,42.7342465753425
36,"0066abb8-679e-4543-bcbf-5433a689c064","Active","Active",2019-10-13,"Male","he/him","U+1F3FF",50227,1704694,66.6493150684932
37,"00686b4f-027e-4086-828d-69d2e4ce9422","Advance 2","Advance",2021-07-08,"Male","he/him","U+1F3FF",50227,1704694,27.813698630137
38,"00686d31-e75a-41cd-bcd9-71eb8966301d","Advance 2","Advance",2021-07-08,"Female","she/her","U+1F3FC",65829,2731571,65.6318212441051
39,"006a9619-59ae-419c-bda4-f91d66f06b82","Advance","Advance",2020-08-20,"Male","he/him",NA,65829,2731571,42.3917808219178
40,"006ccd32-c546-49be-9e53-2f3c3d80501d","Active HR","Active",2019-10-13,"Male","he/him","U+1F3FB",97334,1239220,36.7013698630137
41,"006e0487-39cb-4219-b19d-b0cbcdc95071","Advance 2","Advance",2021-07-08,"Female","she/her",NA,65829,2731571,47.4657534246575
42,"006f8a73-e930-43bd-8e14-58260b0a409e","Run BE","Run",2020-11-20,"Female","she/her","U+1F3FB",65829,2731571,31.841095890411
43,"0070d6d4-f8bc-4db7-bd9c-404946dfbee0","Active Alpha","Active",2020-12-30,"Male","he/him","U+1F3FE",50227,1704694,82.1753424657534
44,"0071e03f-9aa6-46e8-acca-6c212ecd35b8","Run ON","Run",2021-12-04,"Female","she/her","U+1F3FF",61904,95114,58.9095890410959
45,"00759fca-895a-4fa7-9864-70b3e2241d2f","Advance 2","Advance",2021-07-08,"Male","he/him","U+1F3FF",65829,2731571,42.8082191780822
46,"0079400d-d8d7-4cb2-b0e4-9b3cee4e4674","Advance 2","Advance",2021-07-08,"Male","he/him","U+1F3FE",69024,536917,29.0328767123288
47,"00795abb-291d-4b6a-bc21-25af8a76ac41","Run BE","Run",2020-11-20,"Female","she/her","U+1F3FE",59881,531902,29.3667939217007
48,"007fef1d-547b-414e-a9d9-ba9b769999f2","Active Alpha","Active",2020-12-30,"Male","he/him","U+1F3FF",65829,2731571,31.0904109589041
49,"0080e6fa-ed61-46cb-859c-a6f80a53952a","Advance 2","Advance",2021-07-08,"Male","he/him","U+1F3FC",59881,531902,47.3369863013699
50,"00811e0c-6a79-411b-9fa8-3a938d5c7259","Run BE","Run",2020-11-20,"Female","she/her","U+1F3FE",65829,2731571,37.7930234298974
51,"008190d5-ba8a-46aa-8f30-d1a0ddf2add7","Advance","Advance",2020-08-20,"Female","she/her",NA,50227,1704694,41.6454824462909
52,"008991d9-eacf-4c31-b848-430ce645838d","Advance","Advance",2020-08-20,"Female","she/her",NA,65829,2731571,52.9123287671233
53,"008c49b0-f6be-49a6-929c-3ffe86ce0ebc","Run ON","Run",2021-12-04,"Female","she/her",NA,65829,2731571,43.3506849315068
54,"008ccfd2-fd00-4b73-9428-5eb513193943","Advance 2","Advance",2021-07-08,"Male","he/him",NA,65829,2731571,44.9452054794521
55,"008fc32a-2236-4929-8128-5105793a810c","Advance 2","Advance",2021-07-08,"Female","she/her","U+1F3FB",65829,2731571,48.0219178082192
56,"0090146f-7a1b-44c4-813a-fe8430459a84","Advance","Advance",2020-08-20,"Female","she/her","U+1F3FC",85981,934243,62.2684931506849
57,"0090aa37-5b98-49d8-baad-cf5201a140bc","Advance 2","Advance",2021-07-08,"Female","she/her","U+1F3FE",65829,2731571,47.1780821917808
58,"009178cd-67c2-445c-9a25-b90d8daf6290","Run ON","Run",2021-12-04,"Female","she/her","U+1F3FB",87225,932546,68.441095890411
59,"009ab4e0-2ba7-4b76-b70e-467d9d4c3fbc","Run 875 X","Run",2019-09-12,"Female","she/her","U+1F3FF",65829,2731571,70.4876712328767
60,"00aa2c3f-8382-444b-99a4-c7fd95b6b2ed","Run ON","Run",2021-12-04,"Male","he/him","U+1F3FB",113651,66502,40.358904109589
61,"00ad8a79-061a-4348-bf79-4b895b21dce3","Advance 2","Advance",2021-07-08,"Male","he/him","U+1F3FB",65829,2731571,37.336739276892
62,"00b472f4-4f6f-4289-b017-f4d46f338b67","Active Alpha","Active",2020-12-30,"Female","she/her","U+1F3FE",65829,2731571,22.7452054794521
63,"00c1f4a8-3677-425c-9f29-3d3f7df8fdba","Run BE","Run",2020-11-20,"Female","she/her",NA,65829,2731571,34.7068493150685
64,"00c553c8-c205-46f1-83c5-63e815a854a1","Advance","Advance",2020-08-20,"Male","he/him","U+1F3FC",50227,1704694,63.0986301369863
65,"00c8d836-d508-48ea-be51-7b2cae61c6e7","Run ON","Run",2021-12-04,"Female","she/her","U+1F3FE",70216,422993,71.5643835616438
66,"00c9e8d2-72bf-4cc8-b7f3-6da734c4a98d","Run BE","Run",2020-11-20,"Female","she/her",NA,97334,1239220,54.4109589041096
67,"00cec183-05e1-46ae-b483-58ab1da1593e","Run BE","Run",2020-11-20,"Female","she/her","U+1F3FE",50227,1704694,48.1123287671233
68,"00d7060a-b551-4cd3-b72f-15b29e116856","Advance 2","Advance",2021-07-08,"Female","she/her","U+1F3FB",85981,934243,18.4958904109589
69,"00e0f6d1-718e-46b5-b1b3-cd1d85baef41","Run 875","Run",2019-09-12,"Female","she/her","U+1F3FB",89028,328966,57.320345834269
70,"00e806e1-9c3d-4ebe-95a3-0004fd656d2c","Advance 2","Advance",2021-07-08,"Female","she/her","U+1F3FF",50227,1704694,55.9150684931507
71,"00eaaa73-274e-4c6a-b0e7-7c1e4bb43cde","Run ON","Run",2021-12-04,"Female","she/her","U+1F3FC",85981,934243,20.6520547945205
72,"00ead26a-e387-4664-941f-5364b23a4b39","Run BE","Run",2020-11-20,"Male","he/him","U+1F3FD",65829,2731571,26.8986301369863
73,"00eb3699-1fd0-4ab8-9ca9-0172d56a4750","Advance 2","Advance",2021-07-08,"Female","she/her","U+1F3FF",50227,1704694,64.0876712328767
74,"00f14d97-6909-47fe-9a9e-e7c40bd6fda8","Advance 2","Advance",2021-07-08,"Female","she/her",NA,85981,934243,70.8794520547945
75,"00f4c151-7fc0-48f1-80ab-280c9a0e2df2","Advance 2","Advance",2021-07-08,"Intersex","he/him","U+1F3FE",65829,2731571,66.1835616438356
76,"00f757ac-5190-4da6-80a5-d0c2edbcdb7c","Active Alpha","Active",2020-12-30,"Female","she/her",NA,65829,2731571,28.227397260274
77,"00f7ecb6-ee26-48d9-ab4b-ac65f547b7eb","Run ON","Run",2021-12-04,"Female","she/her","U+1F3FD",69553,403131,37.664608129351
78,"00f7fd7d-8d9f-42c3-a19b-99dd6433802a","Run ON","Run",2021-12-04,"Male","he/him",NA,85981,934243,46.3780821917808
79,"00f80756-0992-4684-b856-15add26e88d9","Advance","Advance",2020-08-20,"Female","she/her","U+1F3FF",65829,2731571,28.4438356164384
80,"00fd8c5b-4be6-4d91-9f7a-c35228f0f0dc","Run 875","Run",2019-09-12,"Male","he/him",NA,65829,2731571,39.0027397260274
81,"00fde0c8-564f-4a1a-ba94-047a0884acdb","Advance 2","Advance",2021-07-08,"Female","she/her",NA,59881,531902,22.013698630137
82,"00ff4a51-dc53-4a6f-b6fc-abef9d29c1f8","Run BE","Run",2020-11-20,"Female","she/her","U+1F3FB",83018,721599,78.2821917808219
83,"00ff6ebe-4114-447e-97cb-e179e4a6388c","Advance 2","Advance",2021-07-08,"Male","he/him",NA,95589,84224,47.186301369863
84,"01044d19-86e8-48e3-a757-1495b4c178ea","Run ON","Run",2021-12-04,"Female","she/her","U+1F3FE",50227,1704694,59.627397260274
